id,name,code_id,rec_type,scene_type,use_type,full_cut_price,price,start_time,expire_time,status,user_id,is_pop,create_time,use_time,grantId,merchant_id,extract_time
1,优惠券_30004,30004,1,0,0,113.28,45.65,2026-08-11 13:34:43,2026-10-10 13:34:43,1,10003,0,2026-08-11 13:34:43,,1,1,2026-08-11 13:34:43
2,优惠券_30015,30015,1,0,0,32.28,14.7,2026-08-13 05:02:49,2026-08-20 05:02:49,1,10010,0,2026-08-13 05:02:49,,1,2,2026-08-13 05:02:49
3,优惠券_30010,30010,3,0,0,44.62,15.73,2026-08-09 19:21:49,2026-08-24 19:21:49,1,10010,0,2026-08-09 19:21:49,,1,5,2026-08-09 19:21:49
4,优惠券_30007,30007,3,0,0,87.58,30.22,2026-07-07 12:30:48,2026-09-05 12:30:48,1,10014,0,2026-07-07 12:30:48,,1,3,2026-07-07 12:30:48
5,优惠券_30007,30007,3,0,0,129.24,28.19,2026-04-23 02:05:59,2026-05-08 02:05:59,1,10015,0,2026-04-23 02:05:59,,1,1,2026-04-23 02:05:59
6,优惠券_30012,30012,3,0,0,134.35,45.8,2026-06-05 15:14:17,2026-08-04 15:14:17,1,10016,0,2026-06-05 15:14:17,,1,4,2026-06-05 15:14:17
7,优惠券_30018,30018,3,0,0,44.24,49.68,2026-03-14 15:30:17,2026-03-29 15:30:17,1,10016,0,2026-03-14 15:30:17,,1,4,2026-03-14 15:30:17
8,优惠券_30015,30015,1,0,0,104.14,35.0,2026-02-21 00:02:13,2026-03-23 00:02:13,1,10018,0,2026-02-21 00:02:13,,1,5,2026-02-21 00:02:13
9,优惠券_30016,30016,1,0,0,93.87,23.51,2026-06-16 04:12:13,2026-06-23 04:12:13,1,10018,0,2026-06-16 04:12:13,,1,1,2026-06-16 04:12:13
10,优惠券_30012,30012,3,0,0,52.29,31.36,2026-07-13 01:29:12,2026-09-11 01:29:12,1,10019,0,2026-07-13 01:29:12,,1,4,2026-07-13 01:29:12
11,优惠券_30010,30010,1,0,0,39.84,11.94,2026-05-27 06:54:12,2026-06-11 06:54:12,1,10019,0,2026-05-27 06:54:12,,1,2,2026-05-27 06:54:12
12,优惠券_30008,30008,3,0,0,63.64,40.36,2026-07-31 07:56:08,2026-08-30 07:56:08,1,10020,0,2026-07-31 07:56:08,,1,3,2026-07-31 07:56:08
13,优惠券_30019,30019,1,0,0,144.36,25.77,2026-07-19 07:18:08,2026-08-03 07:18:08,1,10020,0,2026-07-19 07:18:08,,1,2,2026-07-19 07:18:08
14,优惠券_30014,30014,1,0,0,118.49,44.74,2026-08-07 06:30:24,2026-10-06 06:30:24,1,10021,0,2026-08-07 06:30:24,,1,4,2026-08-07 06:30:24
15,优惠券_30009,30009,1,0,0,145.53,40.36,2026-08-03 23:59:20,2026-08-10 23:59:20,1,10022,0,2026-08-03 23:59:20,,1,1,2026-08-03 23:59:20
16,优惠券_30005,30005,1,0,0,115.37,42.28,2026-07-30 07:18:20,2026-08-14 07:18:20,1,10022,0,2026-07-30 07:18:20,,1,4,2026-07-30 07:18:20
17,优惠券_30013,30013,1,0,0,124.06,40.72,2026-07-30 06:56:59,2026-08-29 06:56:59,1,10023,0,2026-07-30 06:56:59,,1,2,2026-07-30 06:56:59
18,优惠券_30012,30012,1,0,0,130.4,41.47,2026-08-03 04:48:10,2026-08-18 04:48:10,1,10027,0,2026-08-03 04:48:10,,1,4,2026-08-03 04:48:10
19,优惠券_30002,30002,1,0,0,57.91,14.85,2026-07-25 06:34:10,2026-08-01 06:34:10,1,10027,0,2026-07-25 06:34:10,,1,5,2026-07-25 06:34:10
20,优惠券_30013,30013,1,0,0,83.49,16.85,2026-02-13 06:06:56,2026-03-15 06:06:56,1,10029,0,2026-02-13 06:06:56,,1,4,2026-02-13 06:06:56
21,优惠券_30011,30011,3,0,0,63.64,27.12,2026-05-22 02:36:03,2026-06-21 02:36:03,1,10030,0,2026-05-22 02:36:03,,1,1,2026-05-22 02:36:03
22,优惠券_30013,30013,3,0,0,60.24,26.0,2026-03-27 11:10:58,2026-04-26 11:10:58,1,10031,0,2026-03-27 11:10:58,,1,5,2026-03-27 11:10:58
23,优惠券_30019,30019,1,0,0,91.38,34.81,2026-06-05 13:38:58,2026-06-12 13:38:58,1,10031,0,2026-06-05 13:38:58,,1,3,2026-06-05 13:38:58
24,优惠券_30004,30004,1,0,0,81.42,30.05,2026-08-05 17:51:53,2026-10-04 17:51:53,1,10036,0,2026-08-05 17:51:53,,1,2,2026-08-05 17:51:53
25,优惠券_30015,30015,3,0,0,67.97,22.53,2026-07-06 22:13:59,2026-09-04 22:13:59,1,10037,0,2026-07-06 22:13:59,,1,1,2026-07-06 22:13:59
26,优惠券_30013,30013,1,0,0,92.13,38.16,2026-06-12 03:33:30,2026-08-11 03:33:30,1,10041,0,2026-06-12 03:33:30,,1,1,2026-06-12 03:33:30
27,优惠券_30018,30018,3,0,0,52.77,13.4,2026-07-11 04:11:39,2026-08-10 04:11:39,1,10047,0,2026-07-11 04:11:39,,1,3,2026-07-11 04:11:39
28,优惠券_30009,30009,1,0,0,93.74,25.22,2026-06-20 04:12:39,2026-07-05 04:12:39,1,10047,0,2026-06-20 04:12:39,,1,3,2026-06-20 04:12:39
29,优惠券_30001,30001,1,0,0,60.65,7.7,2026-07-03 14:12:48,2026-09-01 14:12:48,1,10050,0,2026-07-03 14:12:48,,1,2,2026-07-03 14:12:48
30,优惠券_30002,30002,1,0,0,37.99,34.72,2026-08-07 11:45:48,2026-10-06 11:45:48,1,10050,0,2026-08-07 11:45:48,,1,3,2026-08-07 11:45:48
31,优惠券_30015,30015,1,0,0,44.11,10.92,2026-06-05 11:00:56,2026-07-05 11:00:56,1,10053,0,2026-06-05 11:00:56,,1,2,2026-06-05 11:00:56
32,优惠券_30009,30009,3,0,0,89.72,27.44,2026-04-13 16:29:56,2026-04-20 16:29:56,1,10053,0,2026-04-13 16:29:56,,1,1,2026-04-13 16:29:56
33,优惠券_30006,30006,1,0,0,31.83,33.03,2026-06-14 05:00:58,2026-07-14 05:00:58,1,10055,0,2026-06-14 05:00:58,,1,5,2026-06-14 05:00:58
