id,name,price,full_cut_price,req_points,rec_type,scene_type,days,amount,ex_amount,use_amount,expire_amount,send_start_time,send_end_time,merchant_id,status,couponCodeType,userange
30001,新用户注册赠券5元,5.0,0.0,0,1,0,30,10000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M004,1,1,0
30002,满50减10游泳优惠券,10.0,50.0,0,3,1,15,20000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30003,满80减15订场券,15.0,80.0,0,3,1,15,20000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M002,1,1,0
30004,满100减20全场通用券,20.0,100.0,0,3,0,30,15000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M002,1,1,0
30005,满150减30游泳季卡券,30.0,150.0,0,3,1,30,10000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M004,1,1,0
30006,积分兑换10元游泳券,10.0,0.0,500,2,1,60,5000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M004,1,1,0
30007,积分兑换20元全场券,20.0,0.0,1000,2,0,60,5000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M004,1,1,0
30008,满200减50演艺票券,50.0,200.0,0,3,0,15,8000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30009,满120减25赛事特供券,25.0,120.0,0,4,0,7,5000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30010,无门槛8元抵扣券,8.0,0.0,0,4,0,7,3000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30011,满60减12游泳专属券,12.0,60.0,0,3,1,15,12000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M001,1,1,0
30012,满90减18订场专属券,18.0,90.0,0,3,1,15,10000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M002,1,1,0
30013,老用户专享30元券,30.0,120.0,0,3,0,30,6000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M001,1,1,0
30014,满180减40高净值专属券,40.0,180.0,0,4,0,30,2000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M005,1,1,0
30015,积分兑换50元大额券,50.0,0.0,2500,2,0,90,1000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30016,满250减60超值全场券,60.0,250.0,0,3,0,30,5000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M003,1,1,0
30017,无门槛5元小额券,5.0,0.0,0,1,0,7,50000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M005,1,1,0
30018,满70减15综合运动券,15.0,70.0,0,3,0,15,15000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M004,1,1,0
30019,满130减28节假日专享,28.0,130.0,0,4,0,15,4000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M001,1,1,0
30020,满300减80年度会员专享,80.0,300.0,0,3,0,60,2000,0,0,0,2026-01-01 00:00:00,2026-03-01 00:00:00,M002,1,1,0
