id,member_id,third_type,third_source,third_id,union_id,create_time,extract_time
987076,10001,1,1,wx_8b02e389da1f3a7c1d8de932,uni_79918e60ec2742a339e895468,2026-07-28 18:55:32,2026-07-28 18:55:32
979390,10001,1,1,wx_8b02e389da1f3a7c1d8de932,uni_79918e60ec2742a339e895468,2026-07-28 18:55:32,2026-07-28 18:55:32
455017,10004,1,1,wx_83fc8537283069d16533a62a,uni_b9315102edb38b5ec347f0e52,2026-05-26 11:10:11,2026-05-26 11:10:11
895319,10005,1,1,wx_a41c837debb39dd1e6857e7d,uni_972b508815d55b620d8c0ab41,2026-04-12 08:50:25,2026-04-12 08:50:25
663943,10006,1,1,wx_af2be7dc985d81b38ab967d9,uni_8cc4ece246387dd078174867d,2026-01-07 14:54:09,2026-01-07 14:54:09
764322,10007,1,1,wx_1d55d217a2af2345afe6ceac,uni_06784f534cbefbc28798720d5,2026-04-03 09:26:22,2026-04-03 09:26:22
813630,10008,1,1,wx_8c47673d6a4f85c7d176c634,uni_14fcd055e1de20fecf98844e8,2026-02-01 06:31:47,2026-02-01 06:31:47
551145,10010,1,1,wx_f8b75183811390588367f0e2,uni_b95dd3cf28e7c185a7b6516c5,2026-08-17 09:32:49,2026-08-17 09:32:49
280671,10011,1,1,wx_a69b652a5c51d4eb54f89fec,uni_8b30b0b43692b035b42d57686,2026-07-12 10:18:27,2026-07-12 10:18:27
853799,10012,1,1,wx_65fae8bec1556be8558ce564,uni_21daf96d2280390dec8f8c45c,2026-03-31 20:38:45,2026-03-31 20:38:45
992745,10013,1,1,wx_7ce4c885efe7bde3ff4153c2,uni_02e3cfef4bacb207a93391638,2026-07-29 21:01:23,2026-07-29 21:01:23
228606,10014,1,1,wx_bb3993ad7e2565b6b053c682,uni_ded6545e06bbbe498ee44f634,2026-06-03 16:12:48,2026-06-03 16:12:48
379741,10015,1,1,wx_11b11bd749deaf7990343bc1,uni_bf7fb69f3ba3d4389e820d4f8,2026-03-25 08:22:59,2026-03-25 08:22:59
737372,10016,1,1,wx_3d3511e9e857901c85cdb0ef,uni_48d09c8b8e78b83a62a0cb75c,2026-03-09 20:48:17,2026-03-09 20:48:17
357260,10017,1,1,wx_b1b6810be314413e1732bf79,uni_b56477e36f9113e8b77e61204,2026-04-16 13:15:29,2026-04-16 13:15:29
696958,10018,1,1,wx_614368532598d940547b1ea2,uni_73e04161942998f5fe9fbbcba,2026-02-22 12:30:13,2026-02-22 12:30:13
919233,10019,1,1,wx_13cbc6669bafc974db1092bc,uni_2bf4a0e6c3f1646ec5bd71c46,2026-05-27 10:15:12,2026-05-27 10:15:12
888244,10020,1,1,wx_46a376c1f6fe2329ecf72739,uni_c521908de3a6464847e34094f,2026-07-24 14:06:08,2026-07-24 14:06:08
138914,10021,1,1,wx_cd15fb647dad2118568e5a9d,uni_37cde53480959d884c3bda4df,2026-08-14 19:50:24,2026-08-14 19:50:24
362359,10022,1,1,wx_f3ce4d13df5e67e67f9ff93e,uni_f48b5a9e06979789fca13b213,2026-08-01 11:23:20,2026-08-01 11:23:20
566874,10023,1,1,wx_607092434e94bbd8adf88a70,uni_e3f2c52c5fb6317cda09ce18a,2026-05-14 14:44:59,2026-05-14 14:44:59
639166,10025,1,1,wx_c371b1c7d8b3fdaeaf952f5e,uni_2da472c2c985b9f5f2dd1aba1,2026-07-06 18:05:40,2026-07-06 18:05:40
151335,10026,1,1,wx_b1758cde6cb7e1324644821c,uni_0ededf8847d508382dcf3b04e,2026-03-29 06:48:42,2026-03-29 06:48:42
885212,10027,1,1,wx_228eb13979bc26e701a65995,uni_462fa41a2b951fd112b165ff1,2026-07-17 20:03:10,2026-07-17 20:03:10
353634,10028,1,1,wx_34ef794f51f633efa6bf41d9,uni_e4c154fc48a201c52dab687f7,2026-01-12 10:37:45,2026-01-12 10:37:45
530030,10030,1,1,wx_bed8ff00eb7c70e24cc66428,uni_a7d7eeddd3572699bf26e6b64,2026-04-30 13:35:03,2026-04-30 13:35:03
924787,10031,1,1,wx_6eaf00b1b8b502586da1598f,uni_955f2c3a6bf011027aa9efa12,2026-02-27 20:13:58,2026-02-27 20:13:58
217832,10032,1,1,wx_64ea932766b041953ff3d9e2,uni_f4c1513745238d9bc90d637be,2026-06-23 16:55:17,2026-06-23 16:55:17
269865,10033,1,1,wx_3ed63fcb33847e4950f6a11e,uni_0afd5b62bbdabd786d29e0a37,2026-05-23 12:46:23,2026-05-23 12:46:23
437105,10034,1,1,wx_941aacd9eccd218328bdfb35,uni_47ddbaef4582c54fd6682697f,2026-02-03 09:31:12,2026-02-03 09:31:12
146398,10035,1,1,wx_84958dd1a4535dbf9e7d200d,uni_60804d7bd88e9ab79ffed6467,2026-04-18 19:02:35,2026-04-18 19:02:35
376890,10036,1,1,wx_ef4d59737ada6ebb02f32eb3,uni_0b58d1613b6674ba208150038,2026-08-12 22:19:53,2026-08-12 22:19:53
433177,10037,1,1,wx_cf76c510445309ad5811b46d,uni_623a589b304cdfac007d07cea,2026-06-05 07:49:59,2026-06-05 07:49:59
989098,10038,1,1,wx_3e35aedba6c30507eff120df,uni_b8c3c2d0945e1d3c049843e54,2026-03-29 15:38:05,2026-03-29 15:38:05
317866,10039,1,1,wx_60b29e5613e8c65a1fe8ffe9,uni_5b191c251b05698bb4d22f665,2026-02-28 08:53:17,2026-02-28 08:53:17
337933,10040,1,1,wx_d174d9990f7a1befebebf2f6,uni_a3c0899f17ef2f48c166eda07,2026-08-03 21:56:38,2026-08-03 21:56:38
947131,10041,1,1,wx_720aada60475de7227526079,uni_f592356ed18fd064bf6ace97c,2026-04-25 13:51:30,2026-04-25 13:51:30
572531,10042,1,1,wx_228691488a9d2c611475a213,uni_c64cf94502f09011201015edd,2026-03-04 20:59:25,2026-03-04 20:59:25
517216,10044,1,1,wx_45f970755628fe1d21760ee9,uni_af79e4932b6dfb029d8425525,2026-05-06 16:44:00,2026-05-06 16:44:00
377423,10045,1,1,wx_12c0f6ddc9ba6cd2ec631138,uni_eefab549828ef873591c83572,2026-06-20 15:45:17,2026-06-20 15:45:17
967098,10046,1,1,wx_23270cfe3d882904aebafd32,uni_e8a1cea90473958b4ceb26c9f,2026-04-10 12:26:56,2026-04-10 12:26:56
771518,10048,1,1,wx_74ddcbefb0d90db692b51ca0,uni_9c8b575b2bc3c0dd16001f7d5,2026-07-24 13:20:46,2026-07-24 13:20:46
739316,10049,1,1,wx_25886ab3ae3a3104a2edb85e,uni_e251123c60c49f9d3b6cb4577,2026-06-12 20:59:22,2026-06-12 20:59:22
573338,10050,1,1,wx_b62c67ee9096011c274cd775,uni_5045a3f58e8b105ecdb1e3a4d,2026-07-02 18:28:48,2026-07-02 18:28:48
433900,10051,1,1,wx_555312b26a21e46ec6171e73,uni_48e0e0e3e7ef4cdf4ea477382,2026-05-06 08:11:12,2026-05-06 08:11:12
780969,10053,1,1,wx_b6b0386338f73be88cdfe674,uni_8af808c24fdcd85c6f66bf4ef,2026-04-23 22:41:56,2026-04-23 22:41:56
565708,10054,1,1,wx_b34cbd7ff3f85bc3456c7c39,uni_ed24700bdc937425e999f130a,2026-06-17 06:15:56,2026-06-17 06:15:56
164711,10055,1,1,wx_6fd34b27c9158303fd5b0c8a,uni_9e04934ede0b86da3bc48bd3a,2026-06-07 16:51:58,2026-06-07 16:51:58
445427,10056,1,1,wx_c76f85340c8ec8d838911e25,uni_6f4489ac9d598f35ed6d4c386,2026-03-05 11:04:19,2026-03-05 11:04:19
868288,10057,1,1,wx_649bc0eaee83680043375ca6,uni_e3b5ba5d3a176466670f9e065,2026-08-17 21:07:37,2026-08-17 21:07:37
628535,10058,1,1,wx_275bb95d9ce28cc19c3b4a98,uni_947533fb32b9fb3a39cec22e2,2026-02-28 20:32:27,2026-02-28 20:32:27
318095,10059,1,1,wx_68104f4aaca7dd851320bacb,uni_0ddce6fdf238c82742fc2b664,2026-07-04 07:06:58,2026-07-04 07:06:58
917316,10060,1,1,wx_9eab62e46a9976c1a69d5436,uni_bc54c830fb6036d59c80eb0a1,2026-02-07 19:13:39,2026-02-07 19:13:39
454983,10061,1,1,wx_bed6fa9caafc379e0e2871fb,uni_f9c357a10dd51802b0de99ffb,2026-03-28 12:48:02,2026-03-28 12:48:02
895000,10062,1,1,wx_3ff1c790982a711471ea7bb9,uni_b769d891ca70e531ca93f8a88,2026-06-15 17:17:12,2026-06-15 17:17:12
853181,10064,1,1,wx_c08cc6f3cdf2de9e0a37e957,uni_8a30ca147449883e3f21953be,2026-01-29 17:22:28,2026-01-29 17:22:28
457958,10067,1,1,wx_3981aae239d37f91ad29c597,uni_29d5a2fbe48e5fb2575b33c0f,2026-06-02 20:45:36,2026-06-02 20:45:36
