id,card_id,status,expire_time,stime,etime,type,limit_num,user_id,discount_time,card_name,create_time,extract_time
5002,12,0,2027-01-18 14:54:09,06:00,10:00,1,3,10006,1.88,闲时次卡,2026-01-18 14:54:09,2026-01-18 14:54:09
5003,19,0,2027-05-09 09:26:22,17:00,22:00,2,3,10007,1.5,闲时次卡,2026-05-09 09:26:22,2026-05-09 09:26:22
5004,11,0,2027-08-12 09:32:49,17:00,22:00,1,1,10010,0.56,全时通用次卡,2026-08-12 09:32:49,2026-08-12 09:32:49
5005,16,0,2027-08-17 10:18:27,17:00,22:00,2,3,10011,0.9,闲时次卡,2026-08-17 10:18:27,2026-08-17 10:18:27
5006,3,0,2027-04-29 20:48:17,17:00,22:00,2,1,10016,0.93,闲时次卡,2026-04-29 20:48:17,2026-04-29 20:48:17
5007,6,0,2027-09-07 19:50:24,17:00,22:00,1,2,10021,1.34,全时通用次卡,2026-09-07 19:50:24,2026-09-07 19:50:24
5008,20,0,2027-06-20 14:44:59,17:00,22:00,2,3,10023,0.54,全时通用次卡,2026-06-20 14:44:59,2026-06-20 14:44:59
5009,13,0,2027-05-19 06:48:42,17:00,22:00,2,3,10026,1.45,全时通用次卡,2026-05-19 06:48:42,2026-05-19 06:48:42
5010,13,0,2027-02-10 10:37:45,17:00,22:00,1,2,10028,1.68,全时通用次卡,2026-02-10 10:37:45,2026-02-10 10:37:45
5011,3,0,2027-06-08 07:49:59,17:00,22:00,1,1,10037,1.69,全时通用次卡,2026-06-08 07:49:59,2026-06-08 07:49:59
5012,8,0,2027-04-06 15:38:05,17:00,22:00,1,3,10038,1.61,闲时次卡,2026-04-06 15:38:05,2026-04-06 15:38:05
5013,16,0,2027-08-03 21:56:38,06:00,22:00,1,3,10040,1.25,闲时次卡,2026-08-03 21:56:38,2026-08-03 21:56:38
5014,2,0,2027-06-03 13:51:30,17:00,22:00,2,1,10041,1.48,全时通用次卡,2026-06-03 13:51:30,2026-06-03 13:51:30
5015,5,0,2027-07-21 15:45:17,06:00,10:00,2,2,10045,1.2,闲时次卡,2026-07-21 15:45:17,2026-07-21 15:45:17
5016,15,0,2027-06-29 08:43:39,17:00,22:00,1,1,10047,1.53,闲时次卡,2026-06-29 08:43:39,2026-06-29 08:43:39
5017,8,0,2027-07-23 20:59:22,17:00,22:00,1,3,10049,1.67,闲时次卡,2026-07-23 20:59:22,2026-07-23 20:59:22
5018,7,0,2027-07-14 18:28:48,17:00,22:00,1,1,10050,1.32,全时通用次卡,2026-07-14 18:28:48,2026-07-14 18:28:48
5019,6,0,2027-05-14 08:11:12,06:00,10:00,1,3,10051,1.43,全时通用次卡,2026-05-14 08:11:12,2026-05-14 08:11:12
5020,7,0,2027-05-14 17:11:54,06:00,10:00,1,1,10052,1.89,全时通用次卡,2026-05-14 17:11:54,2026-05-14 17:11:54
5021,7,0,2027-07-25 16:51:58,17:00,22:00,2,1,10055,0.79,闲时次卡,2026-07-25 16:51:58,2026-07-25 16:51:58
5022,18,0,2027-03-20 11:04:19,17:00,22:00,1,2,10056,1.08,闲时次卡,2026-03-20 11:04:19,2026-03-20 11:04:19
5023,5,0,2027-09-28 21:07:37,17:00,22:00,1,1,10057,0.61,闲时次卡,2026-09-28 21:07:37,2026-09-28 21:07:37
5024,16,0,2027-02-16 19:13:39,17:00,22:00,1,2,10060,1.86,全时通用次卡,2026-02-16 19:13:39,2026-02-16 19:13:39
5025,16,0,2027-02-05 17:22:28,17:00,22:00,2,3,10064,1.5,全时通用次卡,2026-02-05 17:22:28,2026-02-05 17:22:28
5026,12,0,2027-06-11 08:06:52,17:00,22:00,2,3,10069,1.58,闲时次卡,2026-06-11 08:06:52,2026-06-11 08:06:52
5027,6,0,2027-02-08 06:30:08,17:00,22:00,2,2,10075,0.67,全时通用次卡,2026-02-08 06:30:08,2026-02-08 06:30:08
5028,14,0,2027-08-04 14:57:33,17:00,22:00,1,2,10080,0.82,闲时次卡,2026-08-04 14:57:33,2026-08-04 14:57:33
5029,13,0,2027-07-23 21:46:26,17:00,22:00,1,2,10081,1.01,闲时次卡,2026-07-23 21:46:26,2026-07-23 21:46:26
5030,17,0,2027-02-23 12:39:34,17:00,22:00,2,1,10082,0.9,闲时次卡,2026-02-23 12:39:34,2026-02-23 12:39:34
5031,15,0,2027-04-27 10:19:36,17:00,22:00,2,3,10083,1.96,闲时次卡,2026-04-27 10:19:36,2026-04-27 10:19:36
5032,17,0,2027-02-25 11:47:34,17:00,22:00,2,2,10084,1.04,全时通用次卡,2026-02-25 11:47:34,2026-02-25 11:47:34
5033,4,0,2027-04-09 08:56:36,17:00,22:00,1,1,10085,1.39,闲时次卡,2026-04-09 08:56:36,2026-04-09 08:56:36
5034,9,0,2027-03-31 08:23:02,17:00,22:00,1,2,10088,0.92,闲时次卡,2026-03-31 08:23:02,2026-03-31 08:23:02
5035,6,0,2027-05-03 13:33:37,06:00,22:00,2,2,10089,1.09,全时通用次卡,2026-05-03 13:33:37,2026-05-03 13:33:37
5036,15,0,2027-02-03 10:28:04,17:00,22:00,1,1,10090,1.32,闲时次卡,2026-02-03 10:28:04,2026-02-03 10:28:04
5037,11,0,2027-03-14 18:10:04,17:00,22:00,2,1,10091,1.0,全时通用次卡,2026-03-14 18:10:04,2026-03-14 18:10:04
5038,6,0,2027-08-20 19:48:09,06:00,10:00,1,1,10093,1.66,全时通用次卡,2026-08-20 19:48:09,2026-08-20 19:48:09
5039,16,0,2027-05-25 18:37:19,17:00,22:00,2,3,10094,1.64,闲时次卡,2026-05-25 18:37:19,2026-05-25 18:37:19
5040,19,0,2027-02-25 20:55:44,17:00,22:00,2,3,10095,1.74,闲时次卡,2026-02-25 20:55:44,2026-02-25 20:55:44
